firstName,lastName,gender,level,establishment,phoneNumber
Reda,Rahmani,M,3eme année,,0634506585
Ilyes,Hamidi,M,3eme année,Lycée Ibn Sina,0697609991
Lamia,Haddad,F,2eme année,Collège El Fath,0625803998
Imane,Hamidi,F,1er année,,0615347667
Rania,Amrani,F,3eme année,,0623351382
Adam,Hamidi,M,2eme année,,0648019300
Omar,Bennani,M,1er année,Collège El Fath,0651665727
Aya,Kaci,F,3eme année,Collège El Fath,0678285331
Sofiane,Cherif,M,2eme année,Lycée Ibn Sina,0631084293
Douaa,Amrani,F,2eme année,,0638579935
Yasmine,Sebti,F,3eme année,,0691915906
Hamza,Slimani,M,2eme année,Collège El Fath,0656906928
Reda,Bennani,M,2eme année,Collège El Fath,0626415667
Yasmine,Nasri,F,3eme année,Lycée Ibn Sina,0623357183
Farah,Cherkaoui,F,1er année,,0678141434
Meriem,Slimani,F,1er année,Lycée Averroès,0669905336
Meriem,Kaci,F,3eme année,Lycée Averroès,0651962967
Sana,Bennani,F,1er année,Lycée Averroès,0628887578
Hamza,Djaidri,M,1er année,Lycée Averroès,0678095667
Hiba,Ziani,F,1er année,Lycée Ibn Sina,0655369732
Ayoub,Ziani,M,1er année,Lycée Ibn Sina,0672250590
Amine,Bennani,M,3eme année,Collège El Fath,0694876330
Karim,Hamidi,M,2eme année,Lycée Averroès,0670006406
Omar,Idrissi,M,2eme année,,0699253220
Nour,Hamidi,F,2eme année,Lycée Averroès,0621339426
Kenza,Bouzid,F,1er année,Lycée Ibn Sina,0686933487
Salma,Fassi,F,1er année,Lycée Ibn Sina,0671403268
Rayan,Fassi,M,3eme année,Lycée Ibn Sina,0659557410
Younes,Bouzid,M,3eme année,,0637687972
Rania,Idrissi,F,2eme année,Lycée Averroès,0671318543
Salma,Alaoui,F,1er année,,0653996690
Zakaria,Brahimi,M,2eme année,,0615286959
Aya,Khelifi,F,1er année,Collège El Fath,0655511537
Reda,Merzouk,M,2eme année,,0634980817
Amira,Ziani,F,3eme année,,0614805950
Ines,Sebti,F,2eme année,,0648916800
Sofiane,Cherif,M,2eme année,Lycée Averroès,0636944372
Malak,Meziane,F,3eme année,Lycée Ibn Sina,0651314350
Ilyes,Slimani,M,1er année,Collège El Fath,0650413888
Malak,Sebti,F,2eme année,Collège El Fath,0650169744
Karim,Haddad,M,2eme année,Lycée Ibn Sina,0699452788
Idris,Brahimi,M,1er année,,0650082479
Anis,Saadi,M,1er année,,0665568988
Meriem,Bennani,F,2eme année,,0690214963
Salma,Haddad,F,3eme année,,0633452731
Sana,Khelifi,F,1er année,Lycée Averroès,0693000226
Kenza,Saadi,F,1er année,,0686930282
Karim,Amrani,M,1er année,Lycée Averroès,0659585439
Salma,Toumi,F,1er année,Lycée Ibn Sina,0656497772
Mehdi,Idrissi,M,1er année,Collège El Fath,0667167894
Kenza,Brahimi,F,2eme année,Lycée Averroès,0660101405
Nour,Nasri,F,1er année,Lycée Averroès,0627227109
Younes,Meziane,M,2eme année,,0616334210
Douaa,Belkacem,F,2eme année,,0610639668
Zakaria,Tazi,M,2eme année,,0683024802
Malak,Fassi,F,3eme année,,0630942045
Younes,Bennani,M,3eme année,,0682444796
Rania,Alaoui,F,1er année,Lycée Ibn Sina,0673206861
Sarah,Rahmani,F,3eme année,,0633687521
Sofiane,Amrani,M,3eme année,Collège El Fath,0677992069
Meriem,Lahlou,F,1er année,Lycée Averroès,0690589487
Kenza,Ferhat,F,3eme année,Lycée Ibn Sina,0660588643
Sirine,Khelifi,F,1er année,,0667203933
Sarah,Rahmani,F,3eme année,Collège El Fath,0613335033
Mehdi,Haddad,M,2eme année,,0621804634
Zakaria,Toumi,M,1er année,Lycée Averroès,0670156099
Samir,Ould,M,1er année,Lycée Ibn Sina,0648844118
Sarah,Benali,F,2eme année,Collège El Fath,0665571726
Douaa,Cherkaoui,F,2eme année,Lycée Averroès,0665388029
Zakaria,Amrani,M,3eme année,Collège El Fath,0614514818
Samir,Boudiaf,M,3eme année,,0690601076
Kenza,Brahimi,F,2eme année,,0618931233
Rania,Sebti,F,1er année,Collège El Fath,0626476308
Chaima,Rahmani,F,1er année,,0629998395
Hiba,Khelifi,F,1er année,,0662726393
Nabil,Toumi,M,2eme année,Collège El Fath,0656631391
Sarah,Slimani,F,1er année,Lycée Averroès,0686824049
Farah,Djaidri,F,1er année,,0647510497
Yasmine,Merzouk,F,3eme année,Collège El Fath,0683181262
Zakaria,Ould,M,2eme année,,0684682385
Sarah,Fassi,F,3eme année,,0631588105
Yanis,Lahlou,M,2eme année,,0668477353
Karim,Djaidri,M,3eme année,Lycée Ibn Sina,0635812408
Amira,Alaoui,F,2eme année,Lycée Ibn Sina,0667968263
Lina,Meziane,F,3eme année,Collège El Fath,0634838379
Ilyes,Ould,M,1er année,Collège El Fath,0617012830
Sofiane,Cherkaoui,M,1er année,,0627244885
Walid,Bouzid,M,3eme année,Lycée Ibn Sina,0665404851
Younes,Benali,M,3eme année,,0629728230
Salma,Idrissi,F,2eme année,,0622241986
Ines,Slimani,F,2eme année,,0666080651
Salma,Kaci,F,1er année,,0647243852
Kenza,Nasri,F,1er année,Lycée Ibn Sina,0632092404
Walid,Bouzid,M,2eme année,Collège El Fath,0655072304
Malak,Amrani,F,3eme année,,0664193824
Ayoub,Hamidi,M,3eme année,Collège El Fath,0687204876
Ayoub,Ould,M,2eme année,,0657851401
Lamia,Cherkaoui,F,1er année,,0676617382
Kenza,Cherkaoui,F,3eme année,Lycée Averroès,0686916212
Imane,Khelifi,F,3eme année,Lycée Averroès,0639125519
Amine,Nasri,M,3eme année,,0620367917
Sirine,Bennani,F,3eme année,,0682265627
Rania,Alaoui,F,3eme année,Collège El Fath,0676952337
Zakaria,Amrani,M,3eme année,Lycée Ibn Sina,0648231388
Nour,Saadi,F,2eme année,Lycée Ibn Sina,0647848412
Ayoub,Boudiaf,M,2eme année,Collège El Fath,0618375598
Nour,Lahlou,F,2eme année,Lycée Averroès,0655870187
Younes,Lahlou,M,3eme année,,0695904543
Sarah,Merzouk,F,3eme année,Lycée Averroès,0666234605
Salma,Djaidri,F,1er année,,0686246032
Walid,Toumi,M,2eme année,Lycée Averroès,0628301228
Sirine,Idrissi,F,1er année,,0676354203
Sirine,Cherif,F,2eme année,Lycée Ibn Sina,0626500856
Yanis,Ferhat,M,2eme année,Lycée Ibn Sina,0633171433
Ilyes,Toumi,M,3eme année,Collège El Fath,0630491246
Walid,Saadi,M,3eme année,,0672792453
Samir,Ould,M,2eme année,,0610551508
Bilal,Lahlou,M,3eme année,,0649385979
Idris,Boudiaf,M,2eme année,Lycée Averroès,0643964130
Sarah,Toumi,F,2eme année,Lycée Ibn Sina,0655383428
Omar,Khelifi,M,2eme année,,0624169301
Lina,Boudiaf,F,3eme année,,0641832896
